52,53,54,55,56,57,58,59,60;54,55,56,57,58,59,60,61
60,61,62,63,64,65;59,60,61,62,63
71,72,73,74,75,76,77,78,79,80,81,82,83,84,85;51,52,53,54,55,56,57,58
1,2,3,4;3,4,5,6
75,76,77,78,79,80,81,82,83,84,85,86;85,86,87,88,89,90,91,92,93,94,95,96
91,92,93,94,95,96,97;64,65,66,67,68,69,70,71,72,73,74,75,76
9,10,11;11,12,13
91,92,93,94,95,96,97,98;79,80,81,82,83,84,85,86,87,88,89,90,91
80,81,82,83,84,85,86,87,88,89,90;57,58,59,60,61,62
74,75,76,77,78,79,80;83,84,85,86,87,88
9,10,11;33,34,35
20,25,36,45,89;25,36,77,88,98
85,86,87,88,89;70,71,72,73,74,75,76,77
84,85,86,87,88,89,90,91,92,93,94,95,96;79,80,81,82,83,84,85
61,62,63,64,65,66;79,80,81,82,83,84,85,86
84,85,86,87,88,89;96,97,98,99,100
71,72,73,74,75,76,77,78,79,80,81,82,83,84,85;61,62,63,64,65,66
65,66,67,68,69,70,71;70,71,72,73,74,75,76
75,76,77,78,79,80,81,82,83,84,85,86,87,88,89;59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
52,53,54,55,56,57,58,59,60,61,62;92,93,94,95,96,97,98,99,100,101
